Title,Rating,Level,Language,Price,URL,Image,Description,Platform,Certificate,Duration,Learning_Type,Enrolled,Reviews,Last_Updated,Category,Instructors
TUMx: Lean Production,4.7,Beginner, English,Free To Audit,https://www.edx.org/learn/manufacturing/technische-universitat-munchen-lean-production,,"Learn about Lean Management, a customer-centric methodology that improves processes by eliminating waste and focusing on value-added tasks.",edX,Available for Paid verified track with cost $149 USD,6 weeks 3–4 hours per week,Course,"74,092 already enrolled! ",51 ratings,None,Business & Management,"Martin Grunow, Holly Ott, "
UWashingtonX: Preparing to Network in English,4.2,Beginner, English,Free To Audit,https://www.edx.org/learn/english/university-of-washington-preparing-to-network-in-english,,"Networking in the business world is key to career success. Research shows that many jobs are never officially advertised. Many companies rely on word-of-mouth advertising to hire employees, so connections with people are important! ",edX,Available for Paid verified track with cost $189 USD,6 weeks 3–5 hours per week,Course,7 months3 - 5 hours per w,48 ratings,None,Language,"Joel Ozretich, Richard Moore, "
"UPValenciaX: Power BI para los negocios, herramientas de productividad",4.1,Intermediate, Spanish,Free To Audit,https://www.edx.org/learn/data-science/universitat-politecnica-de-valencia-power-bi-para-los-negocios-herramientas-de-productividad,,"Este es el segundo curso de una serie sobre Power BI, es un curso de nivel intermedio en el que ampliarás conocimientos sobre las medidas DAX para poder generar funciones complejas que midan exactamente lo que quieres y utilizar la inteligencia de tiempo para comparar datos de periodos distintos, conocerás y aprenderás a utilizar las visualizaciones avanzadas como el gráfico de dispersión o las visualizaciones que incorporan inteligencia artificial y aprenderás a personalizar el formato de un informe con los temas de Power BI.",edX,Available for Paid verified track with cost $39 USD,5 weeks 4–5 hours per week,Course,"9,156 already enrolled! A",15 ratings,None,Data Analysis & Statistics,"Ignacio Despujol, "
HP: From Code to Creation: Mastering Game Programming,None,Beginner, English,Free To Audit,https://www.edx.org/learn/game-development/hp-from-code-to-creation-mastering-game-programming,,"Game programming involves coding and testing video games using programming languages, tools, and techniques",edX,Available for Paid verified track with cost $5 USD,4 weeks 3–5 hours per week,Course,Starts Feb 27Ends Aug 30E,None,None,Computer Science,"Raja Ravi, "
TecdeMonterreyX: DiseÃ±o e innovaciÃ³n de modelo de negocios,None,Advanced, Spanish,Free To Audit,https://www.edx.org/learn/business-model/tecnologico-de-monterrey-diseno-e-innovacion-de-modelo-de-negocios,,"El núcleo del Diseño de Modelo de Negocios se encuentra en las habilidades y liderazgo del manager emprendedor. Requiere un enfoque disciplinado para buscar oportunidades, asi como reunir y alinear recursos para alcanzar objetivos importantes.
En este curso, los alumnos fortaleceran dos habilidades importantes: la intuición y el pensamiento visual, a la vez que aplican métodos cuantitativos aprendidos en otros cursos, como Finanzas, Economía e Inteligencia Financiera.",edX,Available for Paid verified track with cost $119 USD,4 weeks 5–8 hours per week,Course,"17,639 already enrolled! ",None,None,Business & Management,"Luis Antonio Marquez-Heine, "
FedericaX: Robotics Foundations I - Robot Modeling,None,Intermediate, English,Free To Audit,https://www.edx.org/learn/robotics/universita-degli-studi-di-napoli-federico-ii-robotics-foundations-i-robot-modeling,,"Robotics is commonly defined as the study of the intelligent connection between perception and action. As such, the full scope of robotics lies at the intersection of mechanics, electronics, signal processing, control engineering, computing, and mathematical modeling. ",edX,Available for Paid verified track with cost $55 USD,8 weeks 8–10 hours per week,Course,"23,725 already enrolled! ",None,None,Engineering,"Bruno Siciliano, "
"UMD, USMx: Marketing Innovative Products and Services",4.5,Beginner, English,Free To Audit,https://www.edx.org/learn/marketing/the-university-of-maryland-college-park-marketing-innovative-products-and-services,,"Marketing innovative products and services occurs in an ever-changing environment, and requires rapid decision making with incomplete information. These innovations are introduced at increasingly frequent intervals, and there are high mortality rates for products and services, and the businesses themselves.",edX,Available for Paid verified track with cost $189 USD,4 weeks 2–3 hours per week,Course,"21,718 already enrolled! ",29 ratings,None,Business & Management,"Lola Koiki, "
"ISCEA: Sustainable Supply Chain Planning, Sourcing, and Procurement",4.2,Intermediate, English,Free To Audit,https://www.edx.org/learn/sustainability/international-supply-chain-education-alliance-sustainable-supply-chain-planning-sourcing-and-procurement,,"SCCP02 is designed to further your understanding of advanced Supply Chain concepts and practices. As a current or future professional in either the Supply Chain or Sustainability sector, the course will build upon your background on both Sustainability and Supply Chain. However, this course will dive into both business and material planning that is required to foster a Sustainable Supply Chain. The course demonstrates the importance of Sustainable Sourcing as a precursor to core Supply Chain processes such as Manufacturing, Warehousing, and Distribution. The course includes detailed education and examples of the role of inventory in Sustainable Supply Chains and innovations that can be implemented to transform traditional linear Supply Chain models to Circular Supply Chain where possible.",edX,Available for Paid verified track with cost $499 USD,4 weeks 2–8 hours per week,Course,Starts Feb 27Ends Apr 1En,14 ratings,None,Business & Management,"Jorge Morales, Mike Sheahan, Justin Goldston, PhD, "
AlaskaX: GIS Image Analysis in ArcGIS Pro,4.4,Intermediate, English,Free To Audit,https://www.edx.org/learn/image-analysis/university-of-alaska-fairbanks-gis-image-analysis-in-arcgis-pro,,Image analysis is the extraction of meaningful information from an image to accomplish a simple task like understanding the landscape or to solve a complex problem like face recognition.,edX,Available for Paid verified track with cost $189 USD,4 weeks 3–5 hours per week,Course,"7,464 already enrolled! A",8 ratings,None,Engineering,"Santosh Panda, Anushree Badola, Chris Smith, "
RITx: Data Representation and Visualization in Tableau,None,Intermediate, English,Free To Audit,https://www.edx.org/learn/data-visualization/rochester-institute-of-technology-data-representation-and-visualization-in-tableau,,Use Tableau to explore data and discover insights to innovate data-driven decision-making. ,edX,Available for Paid verified track with cost $249 USD,4 weeks 6–8 hours per week,Course,"14,652 already enrolled! ",None,None,Data Analysis & Statistics,"Beth Prince-Bradbury, "
IMFx: Macroeconomic Diagnostics,4.6,Intermediate, English,Free To Audit,https://www.edx.org/learn/macroeconomics/the-international-monetary-fund-macroeconomic-diagnostics,,"In this online course on Macroeconomic Diagnostics (MDSx), you will learn some applied tools that will allow you to assess the economic situation in a country. These analytical tools are the ones most used by applied macroeconomists—including those at the IMF. You will learn both how to technically implement these tools and to interpret their results.",edX,Available for Paid verified track with cost $25 USD,6 weeks 5–6 hours per week,Course,"37,848 already enrolled! ",16 ratings,None,Economics & Finance,"Dimitre Milkov, Evan Tanner, Adolfo Barajas, "
